Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format
Canon,EF 70-200mm f/4L USM,1999,649,705,172.72,76.2,4,70-200,1,0,0,Full-Frame
Canon,EF 70-200mm f/2.8L IS II USM,2010,2099,1490,198.12,88.9,2.8,70-200,1,1,0,Full-Frame
Canon,EF 70-300mm f/4-5.6 IS USM,2005,649,630,142.24,76.2,5.6,70-300,1,1,0,Full-Frame
Canon,EF 70-300mm f/4-5.6L IS USM,2010,1349,1050,142.24,88.9,5.6,70-300,1,1,0,Full-Frame
Canon,EF 100mm f/2.8L Macro IS USM,2013,849,625,123,77.7,2.8,100,0,1,0,Full-Frame
Canon,EF 400mm f/4 DO IS USM,1997,5500,2500,232.664,128.016,4,400,0,1,0,Full-Frame
Canon,EF 70-300mm f/4.5-5.6 IS II USM,2016,549,708,145,78.7,4.5,70-300,1,1,0,Full-Frame
Canon,EF 16-35mm f/2.8L III USM,2016,2199,790,128,88.5,2.8,16-35,1,0,0,Full-Frame
Canon,EF-S 18-135mm f/3.5-5.6 IS USM,2016,599,515,96,77.4,3.5,18-135,1,1,0,APS-C
Canon,EF 24-105mm f/3.5-5.6 IS STM,2014,599,525,104,83.4,3.5,24-105,1,1,0,Full-Frame
Canon,EF 24-105mm f/4L IS II USM,2016,1099,795,118,83.5,4,24-105,1,1,0,Full-Frame
Fujifilm,Fujinon XF 14mm f/2.8 R,2013,899,235,58.4,65,2.8,14,0,0,0,APS-C
Fujifilm,Fujinon XF 16mm f/1.4 R WR,2015,999,375,73,73.4,1.4,16,0,0,0,APS-C
Fujifilm,Fujinon XF 18mm f/2 R,2012,599,116,40.6,64.5,2,18,0,0,0,APS-C
Fujifilm,Fujinon XF 23mm f/1.4 R,2014,899,301,63,72,1.4,23,0,0,0,APS-C
Fujifilm,Fujinon XF 23mm f/2 R WR,2016,449,180,51.9,60,2,23,0,0,0,APS-C
Fujifilm,Fujinon XF 27mm f/2.8,2014,449,78,23,61.2,2.8,27,0,0,0,APS-C
Fujifilm,Fujinon XF 35mm f/1.4 R,2013,599,187,54.9,65,1.4,35,0,0,0,APS-C
Fujifilm,Fujinon XF 35mm f/2 R WR,2015,399,170,45.9,60,2,35,0,0,0,APS-C
Fujifilm,Fujinon XF 56mm f/1.2 R,2014,999,405,69.7,73.2,1.2,56,0,0,0,APS-C
Fujifilm,Fujinon XF 56mm f/1.2 R APD,2015,1499,405,69.7,73.2,1.2,56,0,0,0,APS-C
Fujifilm,Fujinon XF 60mm f/2.4 R Macro,2012,649,215,70.9,64.1,2.4,60,0,0,0,APS-C
Fujifilm,Fujinon XF 90mm f/2 R LM WR,2015,949,540,105,75,2,90,0,0,0,APS-C
